Temp,Dir,Pot1,Pot2
178,Up,-0.237,-0.002
178,Up,-0.237,-0.012
178,Up,-0.237,-0.007
178,Up,-0.242,-0.002
178,Up,-0.242,-0.007
178,Up,-0.242,-0.007
178,Up,-0.247,-0.002
178,Up,-0.247,-0.007
178,Up,-0.256,-0.002
178,Up,-0.252,-0.007
178,Up,-0.252,-0.007
178,Up,-0.252,-0.002
178,Up,-0.252,-0.002
178,Up,-0.261,0.002
178,Up,-0.256,0.007
178,Up,-0.256,0.012
178,Up,-0.256,0.002
178,Up,-0.256,0.007
178,Up,-0.261,0.012
178,Up,-0.252,0.017
178,Up,-0.261,0.017
178,Up,-0.256,0.007
178,Up,-0.261,0.007
178,Up,-0.261,0.007
178,Up,-0.261,0.017
178,Up,-0.266,0.017
178,Up,-0.266,0.007
178,Up,-0.266,0.017
178,Up,-0.271,0.012
178,Up,-0.271,0.017
178,Up,-0.276,0.022
178,Up,-0.276,0.022
178,Up,-0.276,0.027
178,Up,-0.276,0.027
178,Up,-0.271,0.027
178,Up,-0.276,0.027
178,Up,-0.276,0.032
178,Up,-0.276,0.037
178,Up,-0.281,0.032
178,Up,-0.276,0.037
178,Up,-0.281,0.037
178,Up,-0.281,0.042
178,Up,-0.281,0.037
178,Up,-0.281,0.042
178,Up,-0.286,0.037
178,Up,-0.286,0.037
178,Up,-0.286,0.037
178,Up,-0.286,0.037
178,Up,-0.286,0.042
178,Up,-0.286,0.046
178,Up,-0.286,0.042
178,Up,-0.286,0.042
178,Up,-0.286,0.042
178,Up,-0.295,0.046
178,Up,-0.291,0.051
178,Up,-0.295,0.051
178,Up,-0.291,0.046
178,Up,-0.295,0.051
178,Up,-0.291,0.046
178,Up,-0.295,0.056
178,Up,-0.295,0.061
178,Up,-0.3,0.066
178,Up,-0.295,0.061
178,Up,-0.3,0.061
178,Up,-0.295,0.061
178,Up,-0.305,0.061
178,Up,-0.3,0.061
178,Up,-0.3,0.066
178,Up,-0.305,0.066
178,Up,-0.3,0.071
178,Up,-0.3,0.071
178,Up,-0.3,0.071
178,Up,-0.305,0.076
178,Up,-0.31,0.076
178,Up,-0.31,0.071
178,Up,-0.31,0.076
178,Up,-0.305,0.076
178,Up,-0.315,0.081
178,Up,-0.305,0.085
178,Up,-0.315,0.085
178,Up,-0.315,0.085
178,Up,-0.315,0.095
178,Up,-0.31,0.09
178,Up,-0.32,0.095
178,Up,-0.315,0.095
178,Up,-0.32,0.095
178,Up,-0.32,0.095
178,Up,-0.32,0.11
178,Up,-0.325,0.1
178,Up,-0.33,0.11
178,Up,-0.325,0.105
178,Up,-0.33,0.115
178,Up,-0.325,0.1
178,Up,-0.33,0.105
178,Up,-0.325,0.11
178,Up,-0.33,0.11
178,Up,-0.325,0.115
178,Up,-0.335,0.125
178,Up,-0.33,0.12
178,Up,-0.335,0.129
178,Up,-0.33,0.129
178,Up,-0.339,0.134
178,Up,-0.33,0.134
178,Up,-0.339,0.134
178,Up,-0.339,0.125
178,Up,-0.339,0.129
178,Up,-0.339,0.129
178,Up,-0.344,0.139
178,Up,-0.344,0.144
178,Up,-0.349,0.154
178,Up,-0.349,0.144
178,Up,-0.349,0.154
178,Up,-0.354,0.154
178,Up,-0.359,0.154
178,Up,-0.359,0.159
178,Up,-0.364,0.168
178,Up,-0.364,0.168
178,Up,-0.359,0.168
178,Up,-0.364,0.173
178,Up,-0.359,0.168
178,Up,-0.364,0.178
178,Up,-0.364,0.173
178,Up,-0.369,0.183
178,Up,-0.374,0.188
178,Up,-0.369,0.188
178,Up,-0.379,0.188
178,Up,-0.379,0.193
178,Up,-0.379,0.203
178,Up,-0.379,0.198
178,Up,-0.379,0.203
178,Up,-0.383,0.212
178,Up,-0.383,0.208
178,Up,-0.383,0.212
178,Up,-0.383,0.212
178,Up,-0.388,0.208
178,Up,-0.388,0.217
178,Up,-0.388,0.212
178,Up,-0.383,0.222
178,Up,-0.398,0.222
178,Up,-0.393,0.227
178,Up,-0.393,0.232
178,Up,-0.398,0.237
178,Up,-0.393,0.242
178,Up,-0.398,0.232
178,Up,-0.393,0.232
178,Up,-0.398,0.232
178,Up,-0.403,0.237
178,Up,-0.403,0.247
178,Up,-0.403,0.252
178,Up,-0.403,0.247
178,Up,-0.398,0.252
178,Up,-0.408,0.247
178,Up,-0.408,0.247
178,Up,-0.403,0.256
178,Up,-0.408,0.256
178,Up,-0.408,0.247
178,Up,-0.403,0.252
178,Up,-0.413,0.261
178,Up,-0.408,0.256
178,Up,-0.403,0.266
178,Up,-0.413,0.266
178,Up,-0.408,0.256
178,Up,-0.413,0.261
178,Up,-0.413,0.261
178,Up,-0.413,0.261
178,Up,-0.418,0.261
178,Up,-0.413,0.261
178,Up,-0.418,0.266
178,Up,-0.418,0.271
178,Up,-0.418,0.271
178,Up,-0.422,0.276
178,Up,-0.418,0.281
178,Up,-0.422,0.286
178,Up,-0.422,0.276
178,Up,-0.418,0.291
178,Up,-0.422,0.286
178,Up,-0.422,0.286
178,Up,-0.427,0.281
178,Up,-0.422,0.276
178,Up,-0.427,0.271
178,Up,-0.422,0.281
178,Up,-0.427,0.291
178,Up,-0.427,0.286
178,Up,-0.432,0.3
178,Up,-0.432,0.295
178,Up,-0.432,0.281
178,Up,-0.432,0.271
178,Up,-0.427,0.286
178,Up,-0.437,0.291
178,Up,-0.432,0.3
178,Up,-0.437,0.305
178,Up,-0.437,0.3
178,Up,-0.442,0.295
178,Up,-0.437,0.3
178,Up,-0.442,0.305
178,Up,-0.437,0.3
178,Up,-0.442,0.315
178,Up,-0.447,0.315
178,Up,-0.442,0.325
178,Up,-0.447,0.325
178,Up,-0.452,0.32
178,Up,-0.447,0.32
178,Up,-0.447,0.325
178,Up,-0.452,0.33
178,Up,-0.452,0.335
178,Up,-0.457,0.33
178,Up,-0.457,0.325
178,Up,-0.457,0.325
178,Up,-0.452,0.335
178,Up,-0.462,0.339
178,Up,-0.452,0.344
178,Up,-0.457,0.339
178,Up,-0.457,0.339
178,Up,-0.462,0.339
178,Up,-0.457,0.339
178,Up,-0.466,0.349
178,Up,-0.462,0.344
178,Up,-0.466,0.354
178,Up,-0.462,0.344
178,Up,-0.471,0.344
178,Up,-0.471,0.349
178,Up,-0.471,0.344
178,Up,-0.476,0.359
178,Up,-0.471,0.369
178,Up,-0.476,0.364
178,Up,-0.481,0.383
178,Up,-0.486,0.374
178,Up,-0.486,0.379
178,Up,-0.486,0.379
178,Up,-0.486,0.383
178,Up,-0.486,0.383
178,Up,-0.491,0.388
178,Up,-0.496,0.393
178,Up,-0.496,0.398
178,Up,-0.501,0.413
178,Up,-0.501,0.418
178,Up,-0.501,0.413
178,Up,-0.505,0.413
178,Up,-0.501,0.403
178,Up,-0.51,0.418
178,Up,-0.505,0.432
178,Up,-0.51,0.427
178,Up,-0.515,0.427
178,Up,-0.515,0.432
178,Up,-0.515,0.452
178,Up,-0.52,0.452
178,Up,-0.52,0.466
178,Up,-0.52,0.481
178,Up,-0.525,0.476
178,Up,-0.525,0.481
178,Up,-0.525,0.491
178,Up,-0.53,0.501
178,Up,-0.53,0.505
178,Up,-0.525,0.515
178,Up,-0.53,0.515
178,Up,-0.53,0.52
178,Up,-0.535,0.53
178,Up,-0.54,0.535
178,Up,-0.535,0.545
178,Up,-0.54,0.564
178,Up,-0.545,0.569
178,Up,-0.545,0.584
178,Up,-0.545,0.579
178,Up,-0.549,0.589
178,Up,-0.549,0.589
178,Up,-0.554,0.598
178,Up,-0.554,0.608
178,Up,-0.554,0.623
178,Up,-0.554,0.623
178,Up,-0.559,0.632
178,Up,-0.554,0.623
178,Up,-0.564,0.637
178,Up,-0.559,0.637
178,Up,-0.559,0.647
178,Up,-0.564,0.652
178,Up,-0.564,0.647
178,Up,-0.559,0.647
178,Up,-0.564,0.647
178,Up,-0.574,0.657
178,Up,-0.564,0.662
178,Up,-0.564,0.662
178,Up,-0.569,0.667
178,Up,-0.564,0.667
178,Up,-0.569,0.672
178,Up,-0.564,0.667
178,Up,-0.564,0.667
178,Up,-0.569,0.667
178,Up,-0.569,0.667
178,Up,-0.569,0.667
178,Up,-0.574,0.676
178,Up,-0.574,0.676
178,Up,-0.574,0.676
178,Up,-0.574,0.681
178,Up,-0.579,0.676
178,Up,-0.579,0.686
178,Up,-0.579,0.681
178,Up,-0.589,0.681
178,Up,-0.579,0.696
178,Up,-0.584,0.701
178,Up,-0.584,0.696
178,Up,-0.584,0.696
178,Up,-0.579,0.711
178,Up,-0.589,0.716
178,Up,-0.584,0.725
178,Up,-0.584,0.72
178,Up,-0.593,0.72
178,Up,-0.593,0.716
178,Up,-0.598,0.711
178,Up,-0.598,0.706
178,Up,-0.593,0.716
178,Up,-0.598,0.711
178,Up,-0.598,0.716
178,Up,-0.598,0.735
178,Up,-0.598,0.73
178,Up,-0.603,0.73
178,Up,-0.598,0.735
178,Up,-0.603,0.74
178,Up,-0.603,0.73
178,Up,-0.603,0.735
178,Up,-0.603,0.735
178,Up,-0.603,0.73
178,Up,-0.608,0.74
178,Up,-0.608,0.73
178,Up,-0.618,0.73
178,Up,-0.613,0.74
178,Up,-0.613,0.73
178,Up,-0.618,0.73
178,Up,-0.618,0.725
178,Up,-0.623,0.73
178,Up,-0.623,0.725
178,Up,-0.623,0.725
178,Up,-0.623,0.73
178,Up,-0.628,0.725
178,Up,-0.628,0.725
178,Up,-0.623,0.725
178,Up,-0.628,0.716
178,Up,-0.632,0.716
178,Up,-0.628,0.716
178,Up,-0.632,0.711
178,Up,-0.637,0.711
178,Up,-0.637,0.711
178,Up,-0.637,0.706
178,Up,-0.642,0.701
178,Up,-0.637,0.706
178,Up,-0.642,0.696
178,Up,-0.642,0.696
178,Up,-0.642,0.696
178,Up,-0.647,0.686
178,Up,-0.652,0.696
178,Up,-0.647,0.696
178,Up,-0.652,0.681
178,Up,-0.652,0.686
178,Up,-0.652,0.681
178,Up,-0.662,0.672
178,Up,-0.657,0.672
178,Up,-0.657,0.662
178,Up,-0.662,0.662
178,Up,-0.662,0.657
178,Up,-0.667,0.652
178,Up,-0.667,0.652
178,Up,-0.667,0.652
178,Up,-0.672,0.657
178,Up,-0.667,0.652
178,Up,-0.672,0.647
178,Up,-0.676,0.642
178,Up,-0.667,0.637
178,Up,-0.672,0.642
178,Up,-0.676,0.642
178,Up,-0.672,0.637
178,Up,-0.672,0.642
178,Up,-0.672,0.637
178,Up,-0.667,0.632
178,Up,-0.672,0.628
178,Up,-0.676,0.628
178,Up,-0.672,0.628
178,Up,-0.672,0.628
178,Up,-0.676,0.632
178,Up,-0.676,0.632
178,Up,-0.672,0.628
178,Up,-0.672,0.623
178,Up,-0.676,0.623
178,Up,-0.676,0.623
178,Up,-0.676,0.623
178,Up,-0.681,0.623
178,Up,-0.676,0.628
178,Up,-0.676,0.623
178,Up,-0.681,0.623
178,Up,-0.681,0.628
178,Up,-0.681,0.623
178,Up,-0.681,0.613
178,Up,-0.681,0.613
178,Up,-0.686,0.613
178,Up,-0.686,0.608
178,Up,-0.681,0.603
178,Up,-0.681,0.603
178,Up,-0.691,0.603
178,Up,-0.686,0.608
178,Up,-0.686,0.608
178,Up,-0.691,0.608
178,Up,-0.691,0.613
178,Up,-0.691,0.618
178,Up,-0.691,0.618
178,Up,-0.691,0.613
178,Up,-0.696,0.613
178,Up,-0.696,0.608
178,Up,-0.691,0.608
178,Up,-0.691,0.608
178,Up,-0.696,0.618
178,Up,-0.696,0.608
178,Up,-0.696,0.603
178,Up,-0.701,0.603
178,Up,-0.701,0.613
178,Up,-0.701,0.613
178,Up,-0.706,0.608
178,Up,-0.706,0.608
178,Up,-0.701,0.598
178,Up,-0.701,0.593
178,Up,-0.701,0.598
178,Up,-0.701,0.598
178,Up,-0.706,0.593
178,Up,-0.706,0.598
178,Up,-0.706,0.598
178,Up,-0.706,0.593
178,Up,-0.711,0.608
178,Up,-0.706,0.603
178,Up,-0.711,0.593
178,Up,-0.711,0.603
178,Up,-0.711,0.603
178,Up,-0.711,0.598
178,Up,-0.716,0.608
178,Up,-0.711,0.608
178,Up,-0.72,0.603
178,Up,-0.72,0.608
178,Up,-0.72,0.613
178,Up,-0.72,0.613
178,Up,-0.725,0.618
178,Up,-0.73,0.623
178,Up,-0.73,0.618
178,Up,-0.73,0.618
178,Up,-0.73,0.618
178,Up,-0.73,0.623
178,Up,-0.735,0.623
178,Up,-0.735,0.628
178,Up,-0.735,0.642
178,Up,-0.735,0.637
178,Up,-0.74,0.647
178,Up,-0.74,0.642
178,Up,-0.74,0.657
178,Up,-0.735,0.657
178,Up,-0.745,0.667
178,Up,-0.745,0.672
178,Up,-0.74,0.676
178,Up,-0.75,0.672
178,Up,-0.75,0.676
178,Up,-0.75,0.681
178,Up,-0.745,0.691
178,Up,-0.75,0.691
178,Up,-0.75,0.691
178,Up,-0.755,0.706
178,Up,-0.75,0.716
178,Up,-0.755,0.72
178,Up,-0.759,0.72
178,Up,-0.759,0.725
178,Up,-0.759,0.735
178,Up,-0.759,0.74
178,Up,-0.755,0.745
178,Up,-0.759,0.75
178,Up,-0.764,0.759
178,Up,-0.759,0.774
178,Up,-0.764,0.784
178,Up,-0.764,0.789
178,Up,-0.769,0.799
178,Up,-0.759,0.803
178,Up,-0.769,0.803
178,Up,-0.764,0.799
178,Up,-0.764,0.799
178,Up,-0.764,0.794
178,Up,-0.764,0.794
178,Up,-0.764,0.794
178,Up,-0.764,0.803
178,Up,-0.769,0.818
178,Up,-0.769,0.833
178,Up,-0.769,0.833
178,Up,-0.769,0.847
178,Up,-0.764,0.842
178,Up,-0.774,0.852
178,Up,-0.779,0.862
178,Up,-0.774,0.867
178,Up,-0.779,0.867
178,Up,-0.779,0.886
178,Up,-0.774,0.891
178,Up,-0.779,0.886
178,Up,-0.784,0.896
178,Up,-0.779,0.896
178,Up,-0.789,0.911
178,Up,-0.784,0.93
178,Up,-0.789,0.935
178,Up,-0.789,0.95
178,Up,-0.784,0.96
178,Up,-0.789,0.969
178,Up,-0.789,0.969
178,Up,-0.794,0.979
178,Up,-0.789,0.994
178,Up,-0.794,0.999
178,Up,-0.794,1.009
178,Up,-0.794,1.018
178,Up,-0.799,1.023
178,Up,-0.794,1.028
178,Up,-0.799,1.033
178,Up,-0.799,1.048
178,Up,-0.799,1.053
178,Up,-0.803,1.057
178,Up,-0.803,1.067
178,Up,-0.799,1.072
178,Up,-0.808,1.082
178,Up,-0.808,1.092
178,Up,-0.803,1.096
178,Up,-0.808,1.111
178,Up,-0.808,1.116
178,Up,-0.808,1.121
178,Up,-0.808,1.136
178,Up,-0.813,1.136
178,Up,-0.813,1.14
178,Up,-0.808,1.14
178,Up,-0.813,1.136
178,Up,-0.818,1.145
178,Up,-0.813,1.145
178,Up,-0.818,1.165
178,Up,-0.818,1.165
178,Up,-0.818,1.175
178,Up,-0.823,1.165
178,Up,-0.823,1.165
178,Up,-0.823,1.17
178,Up,-0.828,1.184
178,Up,-0.823,1.189
178,Up,-0.828,1.199
178,Up,-0.828,1.204
178,Up,-0.833,1.209
178,Up,-0.833,1.204
178,Up,-0.833,1.194
178,Up,-0.833,1.209
178,Up,-0.833,1.219
178,Up,-0.842,1.214
178,Up,-0.838,1.219
178,Up,-0.842,1.223
178,Up,-0.842,1.228
178,Up,-0.842,1.228
178,Up,-0.847,1.228
178,Up,-0.847,1.228
178,Up,-0.852,1.228
178,Up,-0.852,1.233
178,Up,-0.852,1.223
178,Up,-0.852,1.228
178,Up,-0.847,1.223
178,Up,-0.857,1.223
178,Up,-0.852,1.228
178,Up,-0.857,1.223
178,Up,-0.847,1.219
178,Up,-0.852,1.219
178,Up,-0.852,1.228
178,Up,-0.857,1.223
178,Up,-0.857,1.219
178,Up,-0.857,1.223
178,Up,-0.862,1.214
178,Up,-0.867,1.223
178,Up,-0.862,1.214
178,Up,-0.867,1.199
178,Up,-0.862,1.189
178,Up,-0.862,1.179
178,Up,-0.867,1.189
178,Up,-0.867,1.184
178,Up,-0.872,1.194
178,Up,-0.872,1.179
178,Up,-0.877,1.17
178,Up,-0.877,1.16
178,Up,-0.877,1.15
178,Up,-0.882,1.145
178,Up,-0.877,1.15
178,Up,-0.882,1.136
178,Up,-0.882,1.14
178,Up,-0.882,1.126
178,Up,-0.886,1.121
178,Up,-0.882,1.116
178,Up,-0.886,1.111
178,Up,-0.886,1.101
178,Up,-0.886,1.101
178,Up,-0.886,1.092
178,Up,-0.891,1.077
178,Up,-0.891,1.072
